"","date","GNRC"
"1",2022-01-19,0.1893
"2",2022-01-20,0.1854
"3",2022-01-21,0.1963
"4",2022-01-24,0.1743
"5",2022-01-25,0.1756
"6",2022-01-26,0.1825
"7",2022-01-27,0.1835
"8",2022-01-28,0.1856
"9",2022-01-31,0.1841
"10",2022-02-01,0.1777
"11",2022-02-02,0.1852
"12",2022-02-03,0.1839
"13",2022-02-04,0.1971
"14",2022-02-07,0.1842
"15",2022-02-08,0.1839
"16",2022-02-09,0.1729
"17",2022-02-10,0.1773
"18",2022-02-11,0.1756
"19",2022-02-14,0.1815
"20",2022-02-15,0.1795
"21",2022-02-16,0.173
"22",2022-02-17,0.1634
"23",2022-02-18,0.177
"24",2022-02-22,0.1668
"25",2022-02-23,0.1868
"26",2022-02-24,0.1879
"27",2022-02-25,0.1819
"28",2022-02-28,0.1772
"29",2022-03-01,0.1726
"30",2022-03-02,0.1689
"31",2022-03-03,0.1662
"32",2022-03-04,0.1705
"33",2022-03-07,0.1745
"34",2022-03-08,0.1638
"35",2022-03-09,0.167
"36",2022-03-10,0.1724
"37",2022-03-11,0.1865
"38",2022-03-14,0.1908
"39",2022-03-15,0.1998
"40",2022-03-16,0.1803
"41",2022-03-17,0.1714
"42",2022-03-18,0.1701
"43",2022-03-21,0.1723
"44",2022-03-22,0.1597
"45",2022-03-23,0.1607
"46",2022-03-24,0.1615
"47",2022-03-25,0.1558
"48",2022-03-28,0.1454
"49",2022-03-29,0.1464
"50",2022-03-30,0.1473
"51",2022-03-31,0.135
"52",2022-04-01,0.1216
"53",2022-04-04,0.1368
"54",2022-04-05,0.1108
"55",2022-04-06,0.0945
"56",2022-04-07,0.0789
"57",2022-04-08,0.0601
"58",2022-04-11,0.0611
"59",2022-04-12,0.0629
"60",2022-04-13,0.063
"61",2022-04-14,0.0617
"62",2022-04-18,0.0618
"63",2022-04-19,0.0603
"64",2022-04-20,0.0535
"65",2022-04-21,0.0543
"66",2022-04-22,0.0561
"67",2022-04-25,0.0579
"68",2022-04-26,0.0604
"69",2022-04-27,0.0736
"70",2022-04-28,0.0719
"71",2022-04-29,0.0691
"72",2022-05-02,0.0671
"73",2022-05-03,0.0869
"74",2022-05-04,0.09
"75",2022-05-05,0.0923
"76",2022-05-06,0.0906
"77",2022-05-09,0.0831
"78",2022-05-10,0.0764
"79",2022-05-11,0.0831
"80",2022-05-12,0.0914
"81",2022-05-13,0.1024
"82",2022-05-16,0.1018
"83",2022-05-17,0.1217
"84",2022-05-18,0.1161
"85",2022-05-19,0.133
"86",2022-05-20,0.148
"87",2022-05-23,0.1435
"88",2022-05-24,0.1468
"89",2022-05-25,0.1523
"90",2022-05-26,0.1549
"91",2022-05-27,0.1582
"92",2022-05-31,0.1658
"93",2022-06-01,0.1803
"94",2022-06-02,0.182
"95",2022-06-03,0.1956
"96",2022-06-06,0.2012
"97",2022-06-07,0.2202
"98",2022-06-08,0.2323
"99",2022-06-09,0.2318
"100",2022-06-10,0.2245
"101",2022-06-13,0.2305
"102",2022-06-14,0.2489
"103",2022-06-15,0.2736
"104",2022-06-16,0.276
"105",2022-06-17,0.2783
"106",2022-06-21,0.2803
"107",2022-06-22,0.2876
"108",2022-06-23,0.2882
"109",2022-06-24,0.3022
"110",2022-06-27,0.3075
"111",2022-06-28,0.304
"112",2022-06-29,0.3027
"113",2022-06-30,0.3208
"114",2022-07-01,0.3156
"115",2022-07-05,0.3192
"116",2022-07-06,0.3346
"117",2022-07-07,0.3353
"118",2022-07-08,0.3458
"119",2022-07-11,0.3433
"120",2022-07-12,0.3361
"121",2022-07-13,0.3457
"122",2022-07-14,0.3548
"123",2022-07-15,0.3727
"124",2022-07-18,0.3548
"125",2022-07-19,0.3601
"126",2022-07-20,0.3635
"127",2022-07-21,0.371
"128",2022-07-22,0.3837
"129",2022-07-25,0.3838
"130",2022-07-26,0.3809
"131",2022-07-27,0.375
"132",2022-07-28,0.373
"133",2022-07-29,0.3916
"134",2022-08-01,0.3842
"135",2022-08-02,0.386
"136",2022-08-03,0.3847
"137",2022-08-04,0.388
"138",2022-08-05,0.388
"139",2022-08-08,0.3847
"140",2022-08-09,0.3882
"141",2022-08-10,0.3896
"142",2022-08-11,0.3875
"143",2022-08-12,0.3932
"144",2022-08-15,0.3801
"145",2022-08-16,0.3881
"146",2022-08-17,0.403
"147",2022-08-18,0.3972
"148",2022-08-19,0.388
"149",2022-08-22,0.4004
"150",2022-08-23,0.4048
"151",2022-08-24,0.4166
"152",2022-08-25,0.418
"153",2022-08-26,0.4251
"154",2022-08-29,0.4246
"155",2022-08-30,0.4313
"156",2022-08-31,0.4409
"157",2022-09-01,0.4459
"158",2022-09-02,0.4453
"159",2022-09-06,0.4381
"160",2022-09-07,0.4344
"161",2022-09-08,0.4269
"162",2022-09-09,0.4265
"163",2022-09-12,0.4666
"164",2022-09-13,0.4509
"165",2022-09-14,0.448
"166",2022-09-15,0.444
"167",2022-09-16,0.4343
"168",2022-09-19,0.4225
"169",2022-09-20,0.4218
"170",2022-09-21,0.4256
"171",2022-09-22,0.4215
"172",2022-09-23,0.4114
"173",2022-09-26,0.4179
"174",2022-09-27,0.4132
"175",2022-09-28,0.4073
"176",2022-09-29,0.4045
"177",2022-09-30,0.3988
"178",2022-10-03,0.4065
"179",2022-10-04,0.4589
"180",2022-10-05,0.4496
"181",2022-10-06,0.4394
"182",2022-10-07,0.4322
"183",2022-10-10,0.4187
"184",2022-10-11,0.3938
"185",2022-10-12,0.3887
"186",2022-10-13,0.3806
"187",2022-10-14,0.3716
"188",2022-10-17,0.387
"189",2022-10-18,0.3702
"190",2022-10-19,0.3603
"191",2022-10-20,0.3463
"192",2022-10-21,0.3316
"193",2022-10-24,0.3718
"194",2022-10-25,0.344
"195",2022-10-26,0.3277
"196",2022-10-27,0.3049
"197",2022-10-28,0.2851
"198",2022-10-31,0.2684
"199",2022-11-01,0.2587
"200",2022-11-02,0.2493
"201",2022-11-03,0.2334
"202",2022-11-04,0.2332
"203",2022-11-07,0.2313
"204",2022-11-08,0.2236
"205",2022-11-09,0.229
"206",2022-11-10,0.2358
"207",2022-11-11,0.2232
"208",2022-11-14,0.2194
"209",2022-11-15,0.2186
"210",2022-11-16,0.2119
"211",2022-11-17,0.204
"212",2022-11-18,0.1975
"213",2022-11-21,0.1991
"214",2022-11-22,0.1999
"215",2022-11-23,0.2007
"216",2022-11-25,0.2059
"217",2022-11-28,0.2031
"218",2022-11-29,0.1948
"219",2022-11-30,0.1866
"220",2022-12-01,0.177
"221",2022-12-02,0.1769
"222",2022-12-05,0.1789
"223",2022-12-06,0.1813
"224",2022-12-07,0.1871
"225",2022-12-08,0.1846
"226",2022-12-09,0.1918
"227",2022-12-12,0.1885
"228",2022-12-13,0.1899
"229",2022-12-14,0.1955
"230",2022-12-15,0.1914
"231",2022-12-16,0.1845
"232",2022-12-19,0.1734
"233",2022-12-20,0.1768
"234",2022-12-21,0.1817
"235",2022-12-22,0.1958
"236",2022-12-23,0.1987
"237",2022-12-27,0.188
"238",2022-12-28,0.1922
"239",2022-12-29,0.2027
"240",2022-12-30,0.2007
"241",2023-01-03,0.1987
"242",2023-01-04,0.2002
"243",2023-01-05,0.1901
"244",2023-01-06,0.1899
"245",2023-01-09,0.197
"246",2023-01-10,0.2111
"247",2023-01-11,0.2039
"248",2023-01-12,0.1863
"249",2023-01-13,0.1672
"250",2023-01-17,0.1608
"251",2023-01-18,0.1474
"252",2023-01-19,0.1405
"253",2023-01-20,0.1426
"254",2023-01-23,0.1367
"255",2023-01-24,0.1347
"256",2023-01-25,0.1343
"257",2023-01-26,0.1374
"258",2023-01-27,0.1259
"259",2023-01-30,0.1278
"260",2023-01-31,0.1265
"261",2023-02-01,0.1236
"262",2023-02-02,0.1219
"263",2023-02-03,0.1172
"264",2023-02-06,0.1184
"265",2023-02-07,0.1252
"266",2023-02-08,0.1361
"267",2023-02-09,0.1281
"268",2023-02-10,0.1276
"269",2023-02-13,0.1267
"270",2023-02-14,0.1241
"271",2023-02-15,0.1212
"272",2023-02-16,0.1195
"273",2023-02-17,0.1174
"274",2023-02-21,0.1211
"275",2023-02-22,0.1247
"276",2023-02-23,0.1308
"277",2023-02-24,0.1295
"278",2023-02-27,0.1282
"279",2023-02-28,0.1239
"280",2023-03-01,0.1171
"281",2023-03-02,0.1189
"282",2023-03-03,0.1177
"283",2023-03-06,0.1251
"284",2023-03-07,0.1217
"285",2023-03-08,0.1175
"286",2023-03-09,0.1281
"287",2023-03-10,0.1247
"288",2023-03-13,0.1213
"289",2023-03-14,0.1264
"290",2023-03-15,0.1339
"291",2023-03-16,0.1207
"292",2023-03-17,0.1142
"293",2023-03-20,0.1122
"294",2023-03-21,0.1184
"295",2023-03-22,0.1178
"296",2023-03-23,0.1272
"297",2023-03-24,0.1155
"298",2023-03-27,0.1134
"299",2023-03-28,0.1209
"300",2023-03-29,0.1176
"301",2023-03-30,0.1205
"302",2023-03-31,0.1164
"303",2023-04-03,0.112
"304",2023-04-04,0.1084
"305",2023-04-05,0.1142
"306",2023-04-06,0.1253
"307",2023-04-10,0.1208
"308",2023-04-11,0.1136
"309",2023-04-12,0.1091
"310",2023-04-13,0.1061
"311",2023-04-14,0.1022
"312",2023-04-17,0.1142
"313",2023-04-18,0.1164
"314",2023-04-19,0.1168
"315",2023-04-20,0.1221
"316",2023-04-21,0.1267
"317",2023-04-24,0.1262
"318",2023-04-25,0.1208
"319",2023-04-26,0.1284
"320",2023-04-27,0.1176
"321",2023-04-28,0.1064
"322",2023-05-01,0.1028
"323",2023-05-02,0.1093
"324",2023-05-03,0.1033
"325",2023-05-04,0.1082
"326",2023-05-05,0.1187
"327",2023-05-08,0.1033
"328",2023-05-09,0.0914999999999999
"329",2023-05-10,0.0868
"330",2023-05-11,0.0810999999999999
"331",2023-05-12,0.0733
"332",2023-05-15,0.0672
"333",2023-05-16,0.0589
"334",2023-05-17,0.0613
"335",2023-05-18,0.0597000000000001
"336",2023-05-19,0.0673999999999999
"337",2023-05-22,0.0571999999999999
"338",2023-05-23,0.0558
"339",2023-05-24,0.0478
"340",2023-05-25,0.0422
"341",2023-05-26,0.0387999999999999
"342",2023-05-30,0.0424
"343",2023-05-31,0.0385
"344",2023-06-01,0.0377999999999999
"345",2023-06-02,0.0423
"346",2023-06-05,0.0446
"347",2023-06-06,0.0309
"348",2023-06-07,0.023
"349",2023-06-08,0.0201
"350",2023-06-09,0.0177999999999999
"351",2023-06-12,0.0145
"352",2023-06-13,0.0152000000000001
"353",2023-06-14,0.0151
"354",2023-06-15,0.0133
"355",2023-06-16,0.0128
"356",2023-06-20,0.0263
"357",2023-06-21,0.0147
"358",2023-06-22,0.0174
"359",2023-06-23,0.0225
"360",2023-06-26,0.0266
"361",2023-06-27,0.0338999999999999
"362",2023-06-28,0.0333
"363",2023-06-29,0.0298
