"","date","AAPL"
"1",2020-11-10,0.1253
"2",2020-11-11,0.1351
"3",2020-11-12,0.1259
"4",2020-11-13,0.128
"5",2020-11-16,0.1242
"6",2020-11-17,0.1458
"7",2020-11-18,0.1401
"8",2020-11-19,0.1381
"9",2020-11-20,0.124
"10",2020-11-23,0.1234
"11",2020-11-24,0.1205
"12",2020-11-25,0.1279
"13",2020-11-27,0.1143
"14",2020-11-30,0.1185
"15",2020-12-01,0.1077
"16",2020-12-02,0.1134
"17",2020-12-03,0.11
"18",2020-12-04,0.1147
"19",2020-12-07,0.1126
"20",2020-12-08,0.1234
"21",2020-12-09,0.1213
"22",2020-12-10,0.1313
"23",2020-12-11,0.1263
"24",2020-12-14,0.1305
"25",2020-12-15,0.1147
"26",2020-12-16,0.1185
"27",2020-12-17,0.1116
"28",2020-12-18,0.1091
"29",2020-12-21,0.1172
"30",2020-12-22,0.1275
"31",2020-12-23,0.1263
"32",2020-12-24,0.1354
"33",2020-12-28,0.1325
"34",2020-12-29,0.1374
"35",2020-12-30,0.1343
"36",2020-12-31,0.1464
"37",2021-01-04,0.1423
"38",2021-01-05,0.1481
"39",2021-01-06,0.1432
"40",2021-01-07,0.1396
"41",2021-01-08,0.1369
"42",2021-01-11,0.156
"43",2021-01-12,0.1442
"44",2021-01-13,0.1446
"45",2021-01-14,0.1453
"46",2021-01-15,0.1592
"47",2021-01-19,0.1506
"48",2021-01-20,0.1503
"49",2021-01-21,0.1341
"50",2021-01-22,0.147
"51",2021-01-25,0.1487
"52",2021-01-26,0.1607
"53",2021-01-27,0.1559
"54",2021-01-28,0.1708
"55",2021-01-29,0.1806
"56",2021-02-01,0.1911
"57",2021-02-02,0.1795
"58",2021-02-03,0.1776
"59",2021-02-04,0.1822
"60",2021-02-05,0.1882
"61",2021-02-08,0.179
"62",2021-02-09,0.1899
"63",2021-02-10,0.1832
"64",2021-02-11,0.1824
"65",2021-02-12,0.1872
"66",2021-02-16,0.2146
"67",2021-02-17,0.2133
"68",2021-02-18,0.2187
"69",2021-02-19,0.2092
"70",2021-02-22,0.2103
"71",2021-02-23,0.2096
"72",2021-02-24,0.2136
"73",2021-02-25,0.1948
"74",2021-02-26,0.196
"75",2021-03-01,0.1818
"76",2021-03-02,0.1919
"77",2021-03-03,0.1892
"78",2021-03-04,0.1982
"79",2021-03-05,0.1938
"80",2021-03-08,0.1932
"81",2021-03-09,0.1945
"82",2021-03-10,0.2008
"83",2021-03-11,0.2
"84",2021-03-12,0.2109
"85",2021-03-15,0.2184
"86",2021-03-16,0.2269
"87",2021-03-17,0.2197
"88",2021-03-18,0.2113
"89",2021-03-19,0.2102
"90",2021-03-22,0.2214
"91",2021-03-23,0.2069
"92",2021-03-24,0.2019
"93",2021-03-25,0.1842
"94",2021-03-26,0.1835
"95",2021-03-29,0.1753
"96",2021-03-30,0.1871
"97",2021-03-31,0.1755
"98",2021-04-01,0.1822
"99",2021-04-05,0.1805
"100",2021-04-06,0.176
"101",2021-04-07,0.1658
"102",2021-04-08,0.1715
"103",2021-04-09,0.154
"104",2021-04-12,0.1594
"105",2021-04-13,0.1616
"106",2021-04-14,0.1771
"107",2021-04-15,0.1794
"108",2021-04-16,0.1752
"109",2021-04-19,0.1624
"110",2021-04-20,0.1725
"111",2021-04-21,0.1672
"112",2021-04-22,0.1683
"113",2021-04-23,0.1507
"114",2021-04-26,0.1571
"115",2021-04-27,0.1558
"116",2021-04-28,0.16
"117",2021-04-29,0.1559
"118",2021-04-30,0.1567
"119",2021-05-03,0.1558
"120",2021-05-04,0.1611
"121",2021-05-05,0.1566
"122",2021-05-06,0.1693
"123",2021-05-07,0.1661
"124",2021-05-10,0.1672
"125",2021-05-11,0.1654
"126",2021-05-12,0.1767
"127",2021-05-13,0.1702
"128",2021-05-14,0.1687
"129",2021-05-17,0.1665
"130",2021-05-18,0.1661
"131",2021-05-19,0.162
"132",2021-05-20,0.1874
"133",2021-05-21,0.1744
"134",2021-05-24,0.1777
"135",2021-05-25,0.1649
"136",2021-05-26,0.1678
"137",2021-05-27,0.1655
"138",2021-05-28,0.1709
"139",2021-06-01,0.166
"140",2021-06-02,0.1699
"141",2021-06-03,0.1657
"142",2021-06-04,0.1755
"143",2021-06-07,0.1782
"144",2021-06-08,0.186
"145",2021-06-09,0.1817
"146",2021-06-10,0.2017
"147",2021-06-11,0.194
"148",2021-06-14,0.1872
"149",2021-06-15,0.1922
"150",2021-06-16,0.2068
"151",2021-06-17,0.1968
"152",2021-06-18,0.1872
"153",2021-06-21,0.1722
"154",2021-06-22,0.1774
"155",2021-06-23,0.1773
"156",2021-06-24,0.1885
"157",2021-06-25,0.1794
"158",2021-06-28,0.1855
"159",2021-06-29,0.1784
"160",2021-06-30,0.1691
"161",2021-07-01,0.1635
"162",2021-07-02,0.1738
"163",2021-07-06,0.16
"164",2021-07-07,0.1604
"165",2021-07-08,0.1548
"166",2021-07-09,0.1591
"167",2021-07-12,0.1509
"168",2021-07-13,0.1439
"169",2021-07-14,0.1247
"170",2021-07-15,0.1282
"171",2021-07-16,0.1236
"172",2021-07-19,0.131
"173",2021-07-20,0.1227
"174",2021-07-21,0.1342
"175",2021-07-22,0.1267
"176",2021-07-23,0.1336
"177",2021-07-26,0.1225
"178",2021-07-27,0.1145
"179",2021-07-28,0.0972
"180",2021-07-29,0.0993999999999999
"181",2021-07-30,0.0952
"182",2021-08-02,0.0999000000000001
"183",2021-08-03,0.0887
"184",2021-08-04,0.0861000000000001
"185",2021-08-05,0.0929000000000001
"186",2021-08-06,0.1073
"187",2021-08-09,0.1032
"188",2021-08-10,0.1026
"189",2021-08-11,0.0982
"190",2021-08-12,0.0887
"191",2021-08-13,0.0832999999999999
"192",2021-08-16,0.0936
"193",2021-08-17,0.0821000000000001
"194",2021-08-18,0.0942000000000001
"195",2021-08-19,0.0963000000000001
"196",2021-08-20,0.1055
"197",2021-08-23,0.1071
"198",2021-08-24,0.1205
"199",2021-08-25,0.1194
"200",2021-08-26,0.1207
"201",2021-08-27,0.1152
"202",2021-08-30,0.1258
"203",2021-08-31,0.1224
"204",2021-09-01,0.1333
"205",2021-09-02,0.1272
"206",2021-09-03,0.1394
"207",2021-09-07,0.1376
"208",2021-09-08,0.1412
"209",2021-09-09,0.1572
"210",2021-09-10,0.1744
"211",2021-09-13,0.1734
"212",2021-09-14,0.1798
"213",2021-09-15,0.1752
"214",2021-09-16,0.181
"215",2021-09-17,0.1877
"216",2021-09-20,0.2049
"217",2021-09-21,0.1991
"218",2021-09-22,0.2057
"219",2021-09-23,0.2095
"220",2021-09-24,0.2152
"221",2021-09-27,0.2132
"222",2021-09-28,0.2308
"223",2021-09-29,0.2149
"224",2021-09-30,0.2172
"225",2021-10-01,0.2146
"226",2021-10-04,0.2222
"227",2021-10-05,0.2237
"228",2021-10-06,0.2256
"229",2021-10-07,0.2196
"230",2021-10-08,0.2256
"231",2021-10-11,0.2229
"232",2021-10-12,0.2278
"233",2021-10-13,0.2235
"234",2021-10-14,0.2347
"235",2021-10-15,0.2327
"236",2021-10-18,0.2376
"237",2021-10-19,0.2378
"238",2021-10-20,0.2345
"239",2021-10-21,0.2279
"240",2021-10-22,0.2255
"241",2021-10-25,0.2238
"242",2021-10-26,0.2387
"243",2021-10-27,0.2268
"244",2021-10-28,0.2268
"245",2021-10-29,0.2199
"246",2021-11-01,0.2344
"247",2021-11-02,0.228
"248",2021-11-03,0.2283
"249",2021-11-04,0.2262
"250",2021-11-05,0.2305
"251",2021-11-08,0.2255
"252",2021-11-09,0.2314
"253",2021-11-10,0.2188
"254",2021-11-11,0.2265
"255",2021-11-12,0.2206
"256",2021-11-15,0.2235
"257",2021-11-16,0.2218
"258",2021-11-17,0.2313
"259",2021-11-18,0.2275
"260",2021-11-19,0.2292
"261",2021-11-22,0.225
"262",2021-11-23,0.2264
"263",2021-11-24,0.2195
"264",2021-11-26,0.2209
"265",2021-11-29,0.2134
"266",2021-11-30,0.2227
"267",2021-12-01,0.2107
"268",2021-12-02,0.201
"269",2021-12-03,0.1988
"270",2021-12-06,0.2051
"271",2021-12-07,0.197
"272",2021-12-08,0.2012
"273",2021-12-09,0.1922
"274",2021-12-10,0.1981
"275",2021-12-13,0.2068
"276",2021-12-14,0.2379
"277",2021-12-15,0.2281
"278",2021-12-16,0.224
"279",2021-12-17,0.2153
"280",2021-12-20,0.2159
"281",2021-12-21,0.2099
"282",2021-12-22,0.2164
"283",2021-12-23,0.2005
"284",2021-12-27,0.2017
"285",2021-12-28,0.1973
"286",2021-12-29,0.2008
"287",2021-12-30,0.1987
"288",2021-12-31,0.1981
"289",2022-01-03,0.1851
"290",2022-01-04,0.1878
"291",2022-01-05,0.1853
"292",2022-01-06,0.1947
"293",2022-01-07,0.1968
"294",2022-01-10,0.2051
"295",2022-01-11,0.1964
"296",2022-01-12,0.1961
"297",2022-01-13,0.2039
"298",2022-01-14,0.2012
"299",2022-01-18,0.2035
"300",2022-01-19,0.2009
"301",2022-01-20,0.1898
"302",2022-01-21,0.2007
"303",2022-01-24,0.1898
"304",2022-01-25,0.188
"305",2022-01-26,0.191
"306",2022-01-27,0.2039
"307",2022-01-28,0.2051
"308",2022-01-31,0.2062
"309",2022-02-01,0.2039
"310",2022-02-02,0.2015
"311",2022-02-03,0.1963
"312",2022-02-04,0.199
"313",2022-02-07,0.1837
"314",2022-02-08,0.1946
"315",2022-02-09,0.1936
"316",2022-02-10,0.1936
"317",2022-02-11,0.1911
"318",2022-02-14,0.1968
"319",2022-02-15,0.1953
"320",2022-02-16,0.1888
"321",2022-02-17,0.1926
"322",2022-02-18,0.1878
"323",2022-02-22,0.1755
"324",2022-02-23,0.1793
"325",2022-02-24,0.1763
"326",2022-02-25,0.1831
"327",2022-02-28,0.1793
"328",2022-03-01,0.1756
"329",2022-03-02,0.1764
"330",2022-03-03,0.1835
"331",2022-03-04,0.1847
"332",2022-03-07,0.1862
"333",2022-03-08,0.1668
"334",2022-03-09,0.1578
"335",2022-03-10,0.148
"336",2022-03-11,0.1383
"337",2022-03-14,0.1253
"338",2022-03-15,0.1209
"339",2022-03-16,0.1102
"340",2022-03-17,0.099
"341",2022-03-18,0.095
"342",2022-03-21,0.1064
"343",2022-03-22,0.0953000000000001
"344",2022-03-23,0.0875
"345",2022-03-24,0.0881
"346",2022-03-25,0.0895999999999999
"347",2022-03-28,0.0912000000000001
"348",2022-03-29,0.0896
"349",2022-03-30,0.0831
"350",2022-03-31,0.0856
"351",2022-04-01,0.087
"352",2022-04-04,0.1009
"353",2022-04-05,0.1068
"354",2022-04-06,0.1251
"355",2022-04-07,0.1126
"356",2022-04-08,0.1136
"357",2022-04-11,0.125
"358",2022-04-12,0.1332
"359",2022-04-13,0.1468
"360",2022-04-14,0.1454
"361",2022-04-18,0.1353
"362",2022-04-19,0.1461
"363",2022-04-20,0.1455
"364",2022-04-21,0.1496
"365",2022-04-22,0.1597
"366",2022-04-25,0.1648
"367",2022-04-26,0.1645
"368",2022-04-27,0.1628
"369",2022-04-28,0.1647
"370",2022-04-29,0.1688
"371",2022-05-02,0.1684
"372",2022-05-03,0.1754
"373",2022-05-04,0.1617
"374",2022-05-05,0.1701
"375",2022-05-06,0.1703
"376",2022-05-09,0.1708
"377",2022-05-10,0.1708
"378",2022-05-11,0.1759
"379",2022-05-12,0.1763
"380",2022-05-13,0.1749
"381",2022-05-16,0.1822
"382",2022-05-17,0.1887
"383",2022-05-18,0.1817
"384",2022-05-19,0.188
"385",2022-05-20,0.1793
"386",2022-05-23,0.1837
"387",2022-05-24,0.1861
"388",2022-05-25,0.1745
"389",2022-05-26,0.1751
"390",2022-05-27,0.1773
"391",2022-05-31,0.1777
"392",2022-06-01,0.1753
"393",2022-06-02,0.1703
"394",2022-06-03,0.1733
"395",2022-06-06,0.1724
"396",2022-06-07,0.1781
"397",2022-06-08,0.1729
"398",2022-06-09,0.1719
"399",2022-06-10,0.1624
"400",2022-06-13,0.1625
"401",2022-06-14,0.17
"402",2022-06-15,0.1866
"403",2022-06-16,0.1764
"404",2022-06-17,0.1791
"405",2022-06-21,0.1873
"406",2022-06-22,0.1904
"407",2022-06-23,0.1937
"408",2022-06-24,0.1922
"409",2022-06-27,0.1892
"410",2022-06-28,0.1945
"411",2022-06-29,0.1909
"412",2022-06-30,0.1971
"413",2022-07-01,0.1958
"414",2022-07-05,0.211
"415",2022-07-06,0.2073
"416",2022-07-07,0.2064
"417",2022-07-08,0.2145
"418",2022-07-11,0.216
"419",2022-07-12,0.2196
"420",2022-07-13,0.2204
"421",2022-07-14,0.2125
"422",2022-07-15,0.2186
"423",2022-07-18,0.2193
"424",2022-07-19,0.2204
"425",2022-07-20,0.2235
"426",2022-07-21,0.2317
"427",2022-07-22,0.2302
"428",2022-07-25,0.2289
"429",2022-07-26,0.235
"430",2022-07-27,0.2348
"431",2022-07-28,0.2399
"432",2022-07-29,0.2394
"433",2022-08-01,0.2204
"434",2022-08-02,0.227
"435",2022-08-03,0.2266
"436",2022-08-04,0.2374
"437",2022-08-05,0.2386
"438",2022-08-08,0.2423
"439",2022-08-09,0.242
"440",2022-08-10,0.2454
"441",2022-08-11,0.2482
"442",2022-08-12,0.2527
"443",2022-08-15,0.243
"444",2022-08-16,0.2443
"445",2022-08-17,0.2395
"446",2022-08-18,0.241
"447",2022-08-19,0.2394
"448",2022-08-22,0.237
"449",2022-08-23,0.2422
"450",2022-08-24,0.2431
"451",2022-08-25,0.2413
"452",2022-08-26,0.2398
"453",2022-08-29,0.2357
"454",2022-08-30,0.2284
"455",2022-08-31,0.2243
"456",2022-09-01,0.2279
"457",2022-09-02,0.2282
"458",2022-09-06,0.2305
"459",2022-09-07,0.223
"460",2022-09-08,0.2263
"461",2022-09-09,0.237
"462",2022-09-12,0.2582
"463",2022-09-13,0.2373
"464",2022-09-14,0.2332
"465",2022-09-15,0.2279
"466",2022-09-16,0.2217
"467",2022-09-19,0.2167
"468",2022-09-20,0.2106
"469",2022-09-21,0.203
"470",2022-09-22,0.2026
"471",2022-09-23,0.1981
"472",2022-09-26,0.1964
"473",2022-09-27,0.1866
"474",2022-09-28,0.1917
"475",2022-09-29,0.1886
"476",2022-09-30,0.1906
"477",2022-10-03,0.1907
"478",2022-10-04,0.1863
"479",2022-10-05,0.1871
"480",2022-10-06,0.1857
"481",2022-10-07,0.1895
"482",2022-10-10,0.2073
"483",2022-10-11,0.1999
"484",2022-10-12,0.1983
"485",2022-10-13,0.19
"486",2022-10-14,0.1859
"487",2022-10-17,0.1804
"488",2022-10-18,0.1679
"489",2022-10-19,0.169
"490",2022-10-20,0.1632
"491",2022-10-21,0.1594
"492",2022-10-24,0.1513
"493",2022-10-25,0.134
"494",2022-10-26,0.1363
"495",2022-10-27,0.1281
"496",2022-10-28,0.1294
"497",2022-10-31,0.1283
"498",2022-11-01,0.1201
"499",2022-11-02,0.1098
"500",2022-11-03,0.1091
"501",2022-11-04,0.1108
"502",2022-11-07,0.1058
"503",2022-11-08,0.0958
"504",2022-11-09,0.0945
"505",2022-11-10,0.0886
"506",2022-11-11,0.0971
"507",2022-11-14,0.0992999999999999
"508",2022-11-15,0.0985
"509",2022-11-16,0.0881000000000001
"510",2022-11-17,0.0842000000000001
"511",2022-11-18,0.0824
"512",2022-11-21,0.0862000000000001
"513",2022-11-22,0.0878
"514",2022-11-23,0.0861999999999999
"515",2022-11-25,0.0873
"516",2022-11-28,0.0951000000000001
"517",2022-11-29,0.0934
"518",2022-11-30,0.1003
"519",2022-12-01,0.1052
"520",2022-12-02,0.1113
"521",2022-12-05,0.1208
"522",2022-12-06,0.1268
"523",2022-12-07,0.1234
"524",2022-12-08,0.1292
"525",2022-12-09,0.1308
"526",2022-12-12,0.1394
"527",2022-12-13,0.144
"528",2022-12-14,0.1505
"529",2022-12-15,0.1544
"530",2022-12-16,0.1699
"531",2022-12-19,0.1755
"532",2022-12-20,0.1864
"533",2022-12-21,0.1998
"534",2022-12-22,0.2202
"535",2022-12-23,0.2374
"536",2022-12-27,0.2545
"537",2022-12-28,0.2688
"538",2022-12-29,0.2726
"539",2022-12-30,0.2761
"540",2023-01-03,0.2812
"541",2023-01-04,0.2824
"542",2023-01-05,0.2785
"543",2023-01-06,0.2706
"544",2023-01-09,0.2763
"545",2023-01-10,0.2863
"546",2023-01-11,0.2813
"547",2023-01-12,0.2721
"548",2023-01-13,0.2629
"549",2023-01-17,0.2699
"550",2023-01-18,0.2577
"551",2023-01-19,0.2474
"552",2023-01-20,0.2475
"553",2023-01-23,0.2126
"554",2023-01-24,0.2155
"555",2023-01-25,0.2176
"556",2023-01-26,0.227
"557",2023-01-27,0.2285
"558",2023-01-30,0.2216
"559",2023-01-31,0.2138
"560",2023-02-01,0.2126
"561",2023-02-02,0.215
"562",2023-02-03,0.2096
"563",2023-02-06,0.206
"564",2023-02-07,0.206
"565",2023-02-08,0.2039
"566",2023-02-09,0.2155
"567",2023-02-10,0.2203
"568",2023-02-13,0.2224
"569",2023-02-14,0.2243
"570",2023-02-15,0.2237
"571",2023-02-16,0.2226
"572",2023-02-17,0.2219
"573",2023-02-21,0.2198
"574",2023-02-22,0.2162
"575",2023-02-23,0.2187
"576",2023-02-24,0.2202
"577",2023-02-27,0.2235
"578",2023-02-28,0.2267
"579",2023-03-01,0.2263
"580",2023-03-02,0.2238
"581",2023-03-03,0.2294
"582",2023-03-06,0.2266
"583",2023-03-07,0.2165
"584",2023-03-08,0.2234
"585",2023-03-09,0.2278
"586",2023-03-10,0.2331
"587",2023-03-13,0.2342
"588",2023-03-14,0.2317
"589",2023-03-15,0.223
"590",2023-03-16,0.2273
"591",2023-03-17,0.2288
"592",2023-03-20,0.2273
"593",2023-03-21,0.2259
"594",2023-03-22,0.2235
"595",2023-03-23,0.222
"596",2023-03-24,0.2281
"597",2023-03-27,0.2295
"598",2023-03-28,0.2185
"599",2023-03-29,0.2137
"600",2023-03-30,0.211
"601",2023-03-31,0.21
"602",2023-04-03,0.208
"603",2023-04-04,0.2071
"604",2023-04-05,0.2099
"605",2023-04-06,0.2121
"606",2023-04-10,0.2123
"607",2023-04-11,0.2064
"608",2023-04-12,0.2062
"609",2023-04-13,0.2077
"610",2023-04-14,0.2066
"611",2023-04-17,0.2101
"612",2023-04-18,0.2028
"613",2023-04-19,0.1893
"614",2023-04-20,0.1934
"615",2023-04-21,0.1987
"616",2023-04-24,0.2055
"617",2023-04-25,0.2076
"618",2023-04-26,0.2054
"619",2023-04-27,0.2003
"620",2023-04-28,0.2051
"621",2023-05-01,0.2075
"622",2023-05-02,0.2022
"623",2023-05-03,0.1972
"624",2023-05-04,0.1961
"625",2023-05-05,0.1986
"626",2023-05-08,0.208
"627",2023-05-09,0.2075
"628",2023-05-10,0.2077
"629",2023-05-11,0.2083
"630",2023-05-12,0.2043
"631",2023-05-15,0.205
"632",2023-05-16,0.2121
"633",2023-05-17,0.2188
"634",2023-05-18,0.2228
"635",2023-05-19,0.2291
"636",2023-05-22,0.2332
"637",2023-05-23,0.2311
"638",2023-05-24,0.2336
"639",2023-05-25,0.2361
"640",2023-05-26,0.2403
"641",2023-05-30,0.2373
"642",2023-05-31,0.2312
"643",2023-06-01,0.2228
"644",2023-06-02,0.23
"645",2023-06-05,0.2366
"646",2023-06-06,0.2388
"647",2023-06-07,0.2379
"648",2023-06-08,0.2322
"649",2023-06-09,0.2186
"650",2023-06-12,0.2203
"651",2023-06-13,0.2239
"652",2023-06-14,0.2254
"653",2023-06-15,0.2221
"654",2023-06-16,0.2283
"655",2023-06-20,0.2322
"656",2023-06-21,0.2413
"657",2023-06-22,0.2389
"658",2023-06-23,0.2338
"659",2023-06-26,0.2354
"660",2023-06-27,0.2375
"661",2023-06-28,0.2355
"662",2023-06-29,0.2354
